Bertus Aafjes (1914–1993, Netherlands, p)
Tom Godwin (1915–1980, US, f)
William Godwin (1756–1836, England, nf/f)
William Godwin the Younger (1803–1832, England, f/nf)
Eilífr Goðrúnarson (fl. 10th c., Iceland, p)
Patricia Goedicke (1931–2006, US, p)
Hermann Goedsche (1815–1878, Germany/Poland, f/nf)
Glenda Goertzen (born 1967, Canada, ch)
Albrecht Goes (1908–2000, Germany, p/f)
Johann Wolfgang von Goethe (1749–1832, Germany, p/d/f)
Rainald Goetz (born 1954, Germany, f/d/nf)
Guy Goffette (born 1947, Belgium, p/f/nf)
Octavian Goga (1881–1938, Austria-Hungary/Romania, p/d/nf)
Iakob Gogebashvili (1840–1912, Russian E, nf/ch)
Theo van Gogh (1957–2004, Netherlands, d/f/nf)
Nikolai Gogol (1809–1852, Russian E, f/d)
Damião de Góis (1502–1574, Portugal, nf)
Ziya Gökalp (1876–1924, Ottoman E/Turkey, nf/p)
Hawa Jande Golakai (born 1979, Germany/Liberia, f/nf)
Hamdi Abu Golayyel (born 1967/1968, Egypt, f/nf)
H. L. Gold (1914–1996, US, f)
Melchior Goldast (1576 or 1578–1635, Switzerland, nf)
Leah Goldberg (1911–1970, Germany/Israel, p/f/d)
Christopher Golden (born 1967, US, f/ch)
John Henry Goldfrap (1879–1917, England/US, ch)
Julia Golding (born 1969, England, f), pseudonyms Joss Stirling and Eve Edwards
William Golding (1911–1993, England, f/d/p)
John M. Goldman (1938–2013, England, nf)
Lisa Goldman (born 1964, England, nf)
Marcus J. Goldman (born 1960, US, nf)
Kenneth Goldsmith (born 1961, US, p/nf)
Oliver Goldsmith (1730–1774, England, f/d/p)
Bruce Goldstein (born 1952, New York, nf)
Anna Goldsworthy (born 1974, Australia, nf/d/f)
Peter Goldsworthy (born 1951, Australia, f/p/d)
Vesna Goldsworthy (born 1961, Serbia/England, nf/f/p)
Daniel Goleman (born 1946, US, nf)
Dinicu Golescu (1777–1830, Wallachia/Romania, nf)
Ebrahim Golestan (1922–2023, Iran/England, f)
Pavel Golia (1887–1959, Austria-Hungary/Yugoslavia, p/d/ch)
Claire Goll (1890–1977, Germany/France, p/f)
Yvan Goll (1891–1950, Germany/France, p)
Victor Gollancz (1893–1967, England, nf)
Tadej Golob (born 1967, Yugoslavia/Slovenia, f)
Houshang Golshiri (1938–2000, Iran, f/nf)
Bogumil Goltz (1801–1870, Poland/Germany, nf)
Paul Goma (1935–2020, Romania/France, f/nf)
Jean Ogier de Gombauld (1576–1666, France, d/p)
Witold Gombrowicz (1904–1969, Poland/Argentina, f/nf/d)
Dias Gomes (1922–1999, Brazil, d)
Soeiro Pereira Gomes (1909–1949, Portugal, f)
Adolfo León Gómez (1857–1927, Colombia, p/d)
Kosuke Gomi (五味康祐, 1921–1980, Japan, f)
Junpei Gomikawa (五味川純平, 1916–1995, Japan, f)
George Gomori (born 1934, Hungary/England, p/nf)
António Aurélio Gonçalves (1901–1984, Cape Verde, nf/d)
Ivan Goncharov (1812–1891, Russian E, f/nf)
Edmond de Goncourt (1822–1896, France, f/nf)
Jules de Goncourt (1830–1870, France, f)
Walije Gondwe (born 1936, Nyasaland/Malawi, f)
Luis de Góngora (1561–1627, Spain, p)
Gongsun Long (公孫龍, c. 320–250 BCE, China, f/nf)
Tomás António Gonzaga (1744 – c. 1810, Brazil, p), pseudonym Dirceu
Sophie Gonzales (born 1992, Australia, f/ch)
Betina Gonzalez (born 1972, Argentina, f)
José Luis González (1926–1996, nf/f)
José Rumazo González (1904–1995, Ecuador, p/nf)
N. V. M. Gonzalez (1915–1999, Philippines, f/nf/p)
Elizabeth Gooch (1757–1807, England, nf/p/f)
Caroline Goodall (born 1959, England, d)
W. T. Goodge (1862–1909, England/Australia, p/f)
Lorna Goodison (born 1947, Jamaica, p/f/nf)
Terry Goodkind (1948–2020, US, f/nf)
Dic Goodman (1920–2013, Wales, p)
Martin J. Goodman (born 1956, England, nf/f)
Paul Goodman (1911–1972, US, p/f/nf)
Charles A. Goodrich (1790–1862, US, nf/ch)
Samuel Griswold Goodrich (1793–1860, US, ch), pseudonym Peter Parley
Geraint Goodwin (1903–1941, Wales, f/nf)
Jason Goodwin (born 1964, England, nf)
John Goodwin (1594–1665, England, nf)
Barnabe Googe (1540–1594, England, p)
Nirmalendu Goon (born 1945, India/Bangladesh, p)
Spiridon Gopčević (1855–1928, Austrian E/Germany, nf)
Nadine Gordimer (1923–2014, S Africa, f/d/nf)
Adam Lindsay Gordon (1833–1870, England/Australia, p)
Alexander Gordon (c. 1692–1765, Scotland, nf)
Caroline Gordon (1895–1981, US, f/nf)
John Gordon (1925–2017, England, f/ch)
Roderick Gordon (born 1960, England, ch)
Catherine Gore (1798–1861, England, f/d)
Gábor Görgey (1929–2022, Hungary, p/d/f)
Gorgias (483–375 BCE, Sicily, nf)
Parsadan Gorgijanidze (1626 – c. 1696, Iran, nf)
Maxim Gorky (1868–1936, Russian E/Soviet Union, f/d/nf)
Amanda Gorman (born 1998, US, p)
Ed Gorman (1941–2016, US, f/nf)
Wangui wa Goro (born 1961, Kenya/England, p/nf/f)
Sergey Gorodetsky (1884–1967, Russian E/USSR, p)
Angélica Gorodischer (1928–2022, Argentina, f)
Juana Manuela Gorriti (1818–1892, Argentina, f)
Shira Gorshman (1906–2001, Russian E/Israel, f/nf)
Hedwig Gorski (born 1949, US, p/d)
Herman Gorter (1864–1927, Netherlands/Belgium, p/nf)
Goscelin (fl. 11th c., Flanders/England, nf)
Ray Gosling (1939–2013, England, nf)
Georgi Gospodinov (born 1968, Bulgaria, f/p/d)
Edmund Gosse (1849–1928, England, p/nf)
Marthe Gosteli (1917–2017, Switzerland, nf)
Phyllis Gotlieb (1926–2009, Canada, f/p)
Ben Gotō (五島勉, 1929–2020, Japan, nf)
Gotō Chūgai (後藤宙外, 1866–1938, Japan, nf/f)
Emperor Go-Toba (後鳥羽天皇, 1180–1239, Japan, p/nf)
Meisei Gotō (後藤明生, 1932–1999, Japan, f)
Friedrich Wilhelm Gotter (1746–1797, Germany, p/d)
Gottfried von Strassburg (died c. 1210, Germany, p)
Jeremias Gotthelf (1797–1854, Switzerland, n), pseudonym of Albert Bitzius
Johann Christoph Gottsched (1700–1766, Germany, nf/d)
Levan Gotua (1905–1973, Russian E/USSR, f)
Johann Nikolaus Götz (1721–1781, Germany, p)
Sayed Gouda (born 1968, Egypt/Hong Kong, p/nf)
Elizabeth Goudge (1900–1984, England, f/ch)
Ron Goulart (1933–2022, US, nf/f)
Alan Gould (born 1949, Australia, f/nf/p)
Cecil Gould (1918–1994, England, nf)
Judith Gould (born 1945 and 1952, Austria/US, f), pseudonym of Nicholas Peter "Nick" Bienes and Rhea Gallaher
Rupert Gould (1890–1948, England, nf)
Stephen Jay Gould (1941–2002, US, nf)
William Gould (1715–1799, England, nf)
Sophie el Goulli (1932–2015, Tunisia, p/ch/nf)
Muhammad Loutfi Goumah (1886–1953, Egypt, nf)
Emilie Gourd (1879–1946, Switzerland, nf)
Candy Gourlay (born 1962, Philippines/England, ch/nf)
Remy de Gourmont (1858–1815, France, p/f/nf)
Michal Govrin (born 1950, Israel, f/p)
Iris Gower (1935–2010, Wales, n)
John Gower (c. 1330–1408, England, p)
Emily Gowers (born 1963, England, nf)
Étienne Goyémidé (1942–1997, Central African R, f/d)
Juan Goytisolo (1931–2017, Spain, p/nf/f)
Khaya Gqibitole (living, S Africa, f/d)
Gr–Gy
Hermine de Graaf (1951–2013, Netherlands, f)
Christian Dietrich Grabbe (1801–1836, Germany, d/p)
Stefan Grabiński (1887–1936, Poland, f/d)
Alfred Augustus Grace (1867–1942, N Zealand, f)
Patricia Grace (born 1937, N Zealand, f/ch)
Chaim Grade (1910–1982, Lithuania/US, f/nf)
Branko Gradišnik (born 1951, Yugoslavia/Slovenia, f/nf)
Janez Gradišnik (1917–2009, Yugoslavia/Slovenia, nf/f)
Oskar Maria Graf (1894–1967, Germany/US, nf)
Françoise de Graffigny (1695–1758, Lorraine/France, f/d)
Anders Abraham Grafström (1790–1870, Sweden, nf/p)
Joe de Graft (1924–1978, Gold Coast/Ghana, nf/p)
Sue Grafton (1940–2017, US, f)
Cork Graham (born 1964, US, f)
Harry Graham (1874–1936, England, p/nf)
Heather Graham (born 1953, US, f), pseudonym Heather Graham Pozzessere
James Graham, 1st Marquess of Montrose (1612–1650, Scotland, p)
Jorie Graham (born 1950, US, p)
Maria Graham (1785–1842, England, nf/ch)
Stephen Graham (1884–1975, Scotland/US, nf/f)
Virginia Graham (1910–1993, England, nf/p)
W. S. Graham (1918–1986, Scotland/England, p)
Andrew Graham-Dixon (born 1960, England, nf)
James Grahame (1765–1811, Scotland, p)
Kenneth Grahame (1859–1932, Scotland/England, ch)
Andrew Graham-Yooll (1944–2019, Argentina, nf)
Jakub Grajchman (1822–1897, Austria-Hungary/Hungary, p/d)
Xavier Grall (1930–1981, France, nf/p)
Ion Grămadă (1886–1917, Austria-Hungary/Romania, nf)
Hardie Gramatky (1907–1979, US, ch)
Natalie Grams (born 1978, Germany, nf)
Sara Gran (born 1971, US, f/d)
Alberto Granado (1922–2011, Argentina/Cuba, nf)
Javier del Granado (1913–1996, Bolivia, p)
Romualdas Granauskas (1939–2014, Soviet Union/Lithuania, f)
Euler Granda (1935–2018, Ecuador, p)
Zorka Grandov (1947–2021, Yugoslavia/Serbia, nf)
Mark Granier (born 1957, England/Ireland, p)
Mary Grannan (1900–1975, Canada, ch)
Paul Grano (1894–1975, Australia, p)
Adam Grant (born 1981, US, nf)
Alex Grant (living, Scotland/US, p)
Anne Grant (1755–1838, Scotland/US, p/nf)
Asahel Grant (1807–1844, US, nf)
Charles L. Grant (1942–2006, US, f)
Gwen Grant (born 1940, England, ch)
Joan Grant (1907–1989, England, f/nf)
John Grant (1930–2014, Scotland, ch)
Linda Grant (born 1951, England, f/nf)
Michael Grant (1914–2004, US, nf)
Michael Grant (born 1954, US, ch)
Michael Grant (born 1940, US, f)
Günter Grass (1927–2015, Germany, f/nf)
Patricia Grasso (born 1950, US, f)
Olga Grau (born 1945, Chile, nf)
Elsa Grave (1918–2003, Sweden, f/p)
Alfred Perceval Graves (1846–1931, Ireland/Wales, p/nf)
Charles Patrick Graves (1899–1971, England/Barbados, nf/f)
Clotilde Graves (1863–1932, Ireland, d), pseudonym Richard Dehan
Frank Pierrepont Graves (1869–1956, US, nf)
Richard Graves (1715–1804, England, nf/p/f)
Richard Harry Graves (1897–1971, Ireland/Australia, p/f)
Robert Graves (1895–1985, England/Majorca, p/f/nf)
Alasdair Gray (1934–2019, Scotland, f/d/p)
Alexander Gray (1882–1968, Scotland, nf/p)
Charlotte E. Gray (1873–1926, US, f/nf)
Elizabeth Caroline Gray (1800–1887, Scotland/England, nf)
Harriet Gray (1897–1985, England, f), pseudonym of Denise Robins
John Gray (born 1951, US, nf)
Maxwell Gray (1846–1923, England, f/p), pseudonym of Mary Gleed Tuttiett
Nicholas Stuart Gray (1922–1981, Scotland/England, d/ch)
Patience Gray (1917–2005, England/Italy, nf)
Robert Gray (born 1945, Australia, p/nf)
Simon Gray (1936–2008, England, d/nf)
Stephen Gray (1941–2020, S Africa, f/d/p)
Thomas Gray (1716–1771, England, p/nf)
Benoît Gréan (born 1957, France/Italy, p/nf)
Andrew Greeley (1928–2013, US, nf/f)
Abigail Green (living, England, nf)
Candida Lycett Green (1942–2014, England, nf)
Charmaine Papertalk Green (born 1962, Australia, p)
Dorothy Auchterlonie Green (1915–1991, Australia, nf/p)
Eliza S. Craven Green (1803–1866, England, p)
Geoffrey Green (1911–1990, England, nf)
Grace Winifred Green (1907–1976, N Zealand, nf)
H. M. Green (1881–1962, Australia, nf)
Hank Green (born 1980, Australia, f)
Henry Green (1905–1973, England, f)
James Green (born 1944, England, nf/f)
Jane Green (born 1968, England/US, f)
John Green (born 1977, US, f)
John M. Green (born 1953, Australia, f)
Julien Green (1900–1998, France/US, f/nf)
Michael Cawood Green (born 1954, S Africa, nf/f)
Miriam Green (born c. 1950, S Africa/England, nf)
Paula Green (born 1955, N Zealand, p/ch)
Roger Lancelyn Green (1918–1987, England, nf/ch)
Kate Greenaway (1846–1901, England, ch)
Cordelia A. Greene (1831–1905, US, nf)
Frances Nimmo Greene (1867–1937, US, f)
Gael Greene (1933–2022, US, nf/f)
Graham Greene (1904–1991, England, f/nf/ch)
Melissa Fay Greene (born 1952, US, nf)
Robert Greene (1558–1592, England, d/nf)
Robert Greene (born 1959, US, nf)
Sonia Greene (1883–1972, US, p/f/d)
Tilly Greene (living, US, f)
Lavinia Greenlaw (born 1962, England, p/f)
Sam Greenlee (1930–2014, US, f/p)
Gavin Greenlees (1930–1983, Australia, p)
Dora Greenwell (1821–1882, England, p)
Adrian Greenwood (1973–2016, England, nf)
Frederick Greenwood (1830–1909, England, nf/f)
James Greenwood (1832–1927, England, nf/f/ch)
Lisa Greenwood (born 1955, N Zealand, f)
Walter Greenwood (1903–1974, England, f)
James Greer (born 1971, US, f/d/nf)
Linda Gregg (1942–2019, US, p)
Walter Gregor (1825–1897, Scotland, nf)
Jozef Gregor-Tajovský (1874–1940, Hungary/Czechoslovakia, d/p)
Ferdinand Gregorovius (1821–1891, Germany, nf)
Gregory of Narek (c. 950–1003/1011, Armenia, p/nf)
Horace Gregory (1898–1982, US, p/nf)
Kristiana Gregory (born 1951, US, ch)
Philippa Gregory (born 1954, England, f)
Jessica Gregson (born 1978, US, f/nf)
Martin Greif (1839–1911, Germany, p/d)
León de Greiff (1895–1976, Colombia, p)
Anna Gréki (1931–1966, Algeria, nf/p)
Wilfred Grenfell (1865–1940, England/Labrador, nf)
Josef Greiner (1886–1971, Austrian E/Austria, nf)
Eamon Grennan (born 1941, Ireland/US, p)
Kate Grenville (born 1950, Australia, f/nf)
Jean-Baptiste-Louis Gresset (1709–1777, France, p/d)
H. W. Gretton (1914–1983, N Zealand, p/nf/f)
Charles Greville (1794–1865, England, nf)
Fulke Greville, 1st Baron Brooke (1554–1628, England, p/d)
Jacques Grévin (c. 1539–1570, France/Italy, d)
Elizabeth Caroline Grey (1798–1869, England, f)
Zane Grey (1872–1939), US, f)
Nordahl Grieg (1902–1943, Norway, p/f/nf), Holocaust victim
Friedrich Griese (1890–1975, Germany, f)
Mildred Grieveson (born 1946, England, f), pseudonym Anne Mather
Gerald Griffin (1803–1840, Ireland, f/p/d)
Susan Griffin (born 1943, US, nf/d)
W. E. B. Griffin (1929–2019, US, f), pseudonym of William Edmund Butterworth III
Andy Griffiths (born 1961, Australia, ch/d)
Ann Griffiths (1776–1805, Wales, p)
Arthur Griffiths (1838–1908, nf)
Bill Griffiths (1948–2007, England, p/nf)
J. Gwyn Griffiths (1911–2004, Wales, p/nf)
Jane Griffiths (born 1970, England, p/nf)
Mariela Griffor (born 1961, Chile/US, p)
Elder Grigorije (fl. 1310–1355, Serbia, p/nf)
Geoffrey Grigson (1905–1985, England, p/nf)
Jane Grigson (1928–1990, England, nf)
Sophie Grigson (born 1959, England, nf)
Franz Grillparzer (1791–1872, Austrian E, d/p)
Nicholas Grimald (1519–1562, England, p/d)
Angelina Weld Grimké (1880–1958, US, nf/d/p)
Charlotte Forten Grimké (1837–1914, US, nf/p)
Grimké sisters (Sarah Moore Grimké, 1792–1873, and Angelina Emily Grimké, 1805–1879, US, nf)
Brothers Grimm (1785–1863 and 1786–1859, Germany, nf)
Matthias T. J. Grimme (born 1953, Germany, nf)
Hans Jakob Christoffel von Grimmelshausen (1621/1622–1676, Germany, f)
Vigdís Grímsdóttir (born 1953, Iceland, p/f/ch)
Beate Grimsrud (1863–1920, Norway, f/ch/d)
Charlotte Grimshaw (born 1966, N Zealand, f/nf)
Stefán Hörður Grímsson (1919–2002, Iceland, p)
Elizabeth Grimston (c. 1563 – c. 1603, England, p)
Jon Courtenay Grimwood (born 1953, Malta/US, f), also Jonathan Grimwood
Ken Grimwood (1944–2003, US, f), pseudonym Alan Cochran
Leopold Hartley Grindon (1818–1904, England, nf)
Lester Grinspoon (1928–2020, US, nf)
Maria Gripe (1923–2007, Sweden, ch)
John Grisham (born 1955, US, f)
Rufus Wilmot Griswold (1815–1857, US, p/nf)
Anne-Lise Grobéty (1949–2010, Switzerland, f/p/d)
Stanisław Grochowiak (1934–1976, Poland, p/d)
Alma De Groen (born 1941, N Zealand/Australia, d)
Johan Fredrik Grøgaard (born 1934, Norway, f/ch)
Milan Grol (1876–1952, Serbia/Yugoslavia, nf)
Ukawsaw Gronniosaw (c. 1705–1775, Bornu Empire/England, nf), also called James Albert
Kathleen Clarice Groom (1872–1954, Australia/England, f), pseudonym Kit Dealtry
Robert Groome (1810–1889, England, f)
Annie Groovie (born 1970, Canada, ch), born Annie Trudelle
Francis Grose (1731–1791, England, nf)
Elgin Groseclose (1899–1983, US, nf)
Jean Grosjean (1912–2006, France, p/nf)
Viv Groskop (born 1973, England, nf)
Hans Gross (1847–1915, Austrian E, nf)
Philip Gross (born 1952, England, p/f/ch)
David Grossman (born 1954, Israel, f/nf)
Vasily Grossman (1905–1964, Russian E/USSR, f/nf)
Edith Searle Grossmann (1863–1931, N Zealand, f/nf)
George Grossmith (1847–1912, England, f)
Weedon Grossmith (1854–2019, England, f/p)
George Grote (1794–1871, England, nf)
Harriet Grote (1792–1878, England, nf)
Klaus Groth (1819–1899, Denmark/Germany, p)
Gilbert G. Groud (born 1956, Ivory Coast/Switzerland, nf)
Paul Groussac (1848–1929, France/Argentina, nf)
Frederick Philip Grove (1879–1948, Germany/Canada, f), born Felix Paul Greve
Annie Groves (1946–2011, England, f), pseudonym of Penny Jordan
Paul Groves (born 1947, England/Wales, p/nf)
Isabel Grubb (1881–1972, Ireland, nf)
Igo Gruden (1893–1948, Austria-Hungary/Yugoslavia, p)
Johnny Gruelle (1880–1938, US, ch)
Kim Gruenenfelder (born 1967, US, f/d)
Elis Gruffydd (1490–1552, Wales/England, nf)
Owen Gruffydd (1643–1730, Wales, p)
R. Geraint Gruffydd (1928–2015, Wales, nf)
William John Gruffydd (1881–1954, Wales, nf/p)
Nikanor Grujić (1810–1887, Austria-Hungary, nf/p)
Arnon Grunberg (born 1971, Netherlands/US, f/nf)
N. F. S. Grundtvig (1783–1872, Denmark, nf/p)
Bertha Jane Grundy (1837–1912, England, f/p/d)
Juozas Grušas (1901–1986, Russian E/Soviet Union, d)
Henryk Grynberg (born 1936, Poland, f/p/d)
Andreas Gryphius (1616–1664, Germany, p/d)
Frode Grytten (born 1960, Norway, f/p)
Wioletta Grzegorzewska (born 1974, Poland/England, p/f)
Bernhard Grzimek (1909–1987, Germany, nf)
Martin Grzimek (born 1950, Germany, f)
Michael Grzimek (1934–1959, Germany/Tanganyika, nf)
Gu Cheng (顧城, 1956–1993, China, p/nf/f)
Gu Hua (羅鴻玉, born 1942, China, f/nf)
Gu Jiegang (顧頡剛, 1893–1980, China, nf)
Gu Taiqing (顧太清, 1799 – c. 1877, China, p/f)
Guan Daosheng (管道昇, 1262–1319, China, p)
Guan Hanqing (關漢卿, c. 1241–1320, China, d/p)
Gloria Guardia (1940–2019, Panama, f/nf)
Rósa Guðmundsdóttir (1795–1855, Iceland, p)
Böðvar Guðmundsson (born 1939, Iceland, d/p/ch)
Einar Már Guðmundsson (born 1954, Iceland, f/p)
Halldór Guðmundsson (born 1956, Iceland, nf)
Jón lærði Guðmundsson (1574–1658, Iceland, p)
Kristmann Guðmundsson (1901–1983, Iceland, f)
Tómas Guðmundsson (1901–1983, Iceland, p)
Josué Guébo (born 1972, Ivory Coast, f/d/ch)
Philip Guedalla (1889–1944, England, nf)
Faïza Guène (born 1985, France, f)
Abdellah Guennoun (1908–1989, Morocco/Tangier, nf/p)
R. M. Guéra (born 1959, Yugoslavia/Spain, f), pseudonym of Rajko Milošević
Maurice de Guérin (1810–1839, France, p)
Jeff Guess (born 1948, Australia, p)
Soumaya Naamane Guessous (living, Morocco, nf)
Barbara Guest (1920–2006, US, p/nf/d)
Edgar Guest (1881–1959, England/US, p)
Paul Guest (living, US, p/nf)
Che Guevara (1928–1967, Argentina/Bolivia, nf)
Anton-Andreas Guha (1937–2010, Germany, nf)
Bimal Guha (born 1952, Pakistan/Bangladesh, p/ch/nf)
Ganggang Hu Guidice (胡剛剛, born 1984, China, nf/f)
Pedro Guilherme-Moreira (born 1969, Portugal, f/nf)
Georges Guillain (1876–1961, France, nf)
Guillaume de Lorris (c. 1200 – c. 1240, France, nf/p)
Jorge Guillén (1893–1984, Spain, p/nf)
Nicolás Guillén (1903–1989, Cuba, p/nf)
Pernette Du Guillet (c. 1520 – 1545, France, p)
Eugène Guillevic (1907–1997, France, p)
Jan Guillou (born 1944, Sweden, nf/f)
Paul Guimard (1921–2004, France, f)
Bernardo Guimarães (1825–1884, Brazil, p/f)
Wyman Guin (1915–1989, US, f)
Guido Guinizelli (c. 1225–1276, Italy, p)
Daphne Guinness (born 1967, England, p)
Guiot de Provins (died post-1208, France, p)
Ricardo Güiraldes (1886–1927, Argentina, f/p)
Arthur Guirdham (1905–1992, England, f/nf)
Frédéric Guirma (1931–2024, Burkina Faso, nf)
Malcolm Guite (born 1957, Nigeria/England, p/nf)
Gül Baba (died 1541, Ottoman E, p)
Trygve Gulbranssen (1894–1962, Norway, f/nf)
Robert van Gulik (1910–1967, Netherlands, f)
Ferreira Gullar (1930–2016, Brazil, p/d/nf), pseudonym of José Ribamar Ferreira
Hjalmar Gullberg (1898–1961, Sweden, p/d)
Geir Gulliksen (born 1963, Norway, p/f/ch)
Olav Gullvåg (1885–1961, Norway, d/f/p)
Andrei Gulyashki (1914–1995, Bulgaria, f)
Alex La Guma (1924–1985, S Africa, f/nf)
Nataliya Gumenyuk (born 1983, Ukraine, nf)
Nikolay Gumilyov (1886–1921, Russia/USSR, p/nf)
Martin Gumpert (1897–1955, Germany/US, nf)
Gunnar Bull Gundersen (1929–1993, Norway, f/d)
Đivo Šiškov Gundulić (1678–1721, Ragusa, p)
Ivan Gundulić (1589–1638, Ragusa, p)
Romesh Gunesekera (born 1954, Sri Lanka/England, f)
Kirsty Gunn (born 1960, N Zealand, f)
Thom Gunn (1929–2004, England/US, p)
Elín Ebba Gunnarsdóttir (born 1953, Iceland, f)
Halla Gunnarsdóttir (born 1981, Iceland, nf)
Kristín Helga Gunnarsdóttir (born 1963, Iceland, ch/nf/f)
Ólafur Gunnarsson (born 1948, Iceland, f/ch/p)
Gunnlaugr ormstunga (c. 983–1008, Iceland, p)
Álfrún Gunnlaugsdóttir (1938–2021, Iceland, f)
Gunnar Gunnarsson (1889–1975, Iceland, f)
Pétur Gunnarsson (born 1947, Iceland, p/f/d)
Elizabeth Gunning (1769–1823, England, f)
Susannah Gunning (c. 1740–1800, England, f)
Reşat Nuri Güntekin (1889–1956, Ottoman E/England, f/d)
Johann Christian Günther (1695–1723, Germany, p)
Asriel Günzig (1868–1931, Austrian Empire/Belgium, nf)
Guo Jingming (郭敬明, born 1983, China, ch)
Guo Moruo (郭沫若, 1892–1978, China, nf/p)
Guo Pu (郭璞, 276–324 CE, China, p/nf)
Guo Shoujing (郭守敬, 1231–1316, China, nf)
Shusha Guppy (1935–2008, Iran/England, p)
Halil Gür (born 1951, Netherlands, f/ch)
Peter Guralnick (born 1943, US, nf)
Lee Gurga (born 1949, US, p)
Abdulrazak Gurnah (born 1948, Zanzibar/England, f)
Ivor Gurney (1890–1937, England, p)
Sabri Gürses (born 1972, Turkey, p/f)
Toya Gurung (born 1948, Nepal, p)
Lars Gustafsson (1936–2016, Sweden, p/f/nf)
Albert Paris Gütersloh (1887–1973, Austria, nf)
Ari Trausti Guðmundsson (born 1948, Iceland, nf)
James Guthrie (c. 1612–1661, Scotland, nf)
John Guthrie (1905–1955, N Zealand, nf/f)
Juan María Gutiérrez (1809–1878, Argentina, nf/p)
Pedro Juan Gutiérrez (born 1950, Cuba, f/p/nf)
Dan Gutman (born 1955, US, ch)
D. D. Guttenplan (living, US, nf)
Karl Gutzkow (1811–1878, Germany, f/nf)
Rosa Guy (1822–1912, Trinidad/US, f/ch)
Emma Jane Guyton (1825–1887, England, f)
Martín Luis Guzmán (1887–1976, Mexico, f)
Slavomir Gvozdenovici (born 1953, Romania, p)
Mafika Gwala (1946–2014, S Africa, p/nf)
Bethan Gwanas (born 1962, Wales, f/ch), pseudonym of Bethan Evans
William Gwavas (1676–1741, England, nf)
Henry Melvill Gwatkin (1844–1916, England, nf)
Gwynn ap Gwilym (1950–2016, Wales, p/f)
Yaa Gyasi (born 1989, Ghana/US, f/nf)
Htin Gyi (1916–2004, Burma/Myanmar, nf)
Lars Gyllensten (1921–2006, Sweden, p/f)
Þorsteinn Gylfason (1942–2005, Iceland, nf/p)
Beth Gylys (born 1964, US, p)
István Gyöngyösi (1620–1704, Hungary, p)
Géza Gyóni (1884–1917, Hungary/Russia, p)
Brion Gysin (1916–1986, England, p)
Gabor G. Gyukics (born 1958, Hungary/US, p)
Jacob Haafner (1754–1809, Germany/Netherlands, nf)
Magnhild Haalke (1885–1984, Norway, f)
Dorian Haarhoff (born 1944, S Africa/Namibia)
Espen Haavardsholm (born 1945, Norway, f/p/nf)
Hella Haasse (1918–2011, Dutch East Indies/Netherlands, f/ch)
Jürgen Habermas (born 1929, Germany, nf)
Ahsan Habib (1917–1985, India/Bangladesh, p/f/ch)
M. A. R. Habib (living, US, nf)
Abdul Hai Habibi (1910–1984, Afghanistan, nf)
Helon Habila (born 1967, Nigeria, f/p)
Chékéba Hachemi (born 1974, Afghanistan, nf)
Najat El Hachmi (born 1979, Morocco/Spain, f/nf)
Maria Hack (1777–1844, England, nf/ch)
Marilyn Hacker (born 1942, US, p/nf)
Erich Hackl (born 1954, Austria, f)
William Hacket (died 1591, England, nf)
Friedrich Wilhelm Hackländer (1816–1877, Germany, f/nf)
Peter Hacks (1928–2003, Germany, d/nf)
David Hackworth (1930–2005, US, nf)
Malek Haddad (1927–1978, Algeria, p/f/nf)
Ali Haddani (1936–2007, Morocco, p)
Mohammad Moustafa Haddara (1930–1997, Egypt, nf/f)
Margaret Peterson Haddix (born 1964, US, ch)
Mark Haddon (born 1962, England, f/p/d)
Margaret Peterson Haddix (born 1964, US, ch)
Mark Haddon (born 1962, England, f/p/d)
Hadewijch (fl. 13th c., Duchy of Brabant, p/nf)
Tessa Hadley (born 1956, England, f/nf)
Lyndall Hadow (1903–1976, Australia, f/nf)
Hadrawi (born 1943, Somaliland, p), full name Mohamed Ibrahim Warsame Hadrawi
Ivana Hadži-Popović (born 1951, Yugoslavia/Serbia, f)
Stefan Haenni (born 1958, Switzerland, f)
Hafez (1315–1390, Iran, p), pseudonym of Khwāja Shams-ud-Dīn Muḥammad Ḥāfeẓ-e Shīrāzī
Yasser Abdel Hafez (born 1969, Egypt, f/nf)
Bergljot Hobæk Haff (1925–2016, Norway, f)
Sebastian Haffner (1907–1999, Germany, nf), pseudonym of Raimund Pretzel
Einarr Hafliðason (1307–1393, Iceland, nf)
Hannes Hafstein (1861–1922, Iceland, p)
Stefán Jón Hafstein (born 1955, Iceland, nf)
Guðmundur G. Hagalín (1898–1985, Iceland, nf)
Hrafnhildur Hagalín (born 1965, Iceland, d)
Carl August Hagberg (1810–1864, Sweden, nf)
Friedrich von Hagedorn (1708–1754, Germany, p)
Jessica Hagedorn (born 1949, Philippines/US, d/p)
Ingeborg Refling Hagen (1895–1989, Norway, nf/p)
Jean Hager (born 1932, US, f/ch)
Mandy Hager (born 1960, N Zealand, f/ch/nf)
Helge Hagerup (1933–2008, Norway, d/p/f)
Inger Hagerup (1905–1985, Norway, d/p/nf)
Klaus Hagerup (1946–2018, Norway, p/d/nf)
H. Rider Haggard (1856–1925, England, f/nf)
Lilias Rider Haggard (1892–1968, England, nf)
Sakutarō Hagiwara (萩原朔太郎, 1886–1942, Japan, p)
